SU,Area_km2,Park_Area,Region,Moose_Seen,Moose_Tracks,Total_Moose_Estimate
340,4.72854,4.20098,Park,0,0,0
341,4.72866,3.92304,Park,0,0,0
342,4.72877,2.54757,Park,0,2,1
343,4.72888,1.1322,Park,0,0,0
344,4.729,1.47857,Park,0,1,1
345,4.36528,1.81368,Park,0,0,0
346,0.94008,0.67387,Park,0,0,0
347,1.71281,0,Outside,0,0,0
348,3.79117,0,Outside,0,0,0
349,4.72878,0,Outside,0,0,0
350,4.72887,0,Outside,0,0,0
351,4.72896,1.49036,Park,0,0,0
352,4.72905,2.06921,Park,2,0,2
353,4.72915,2.1719,Park,1,0,1
354,4.72926,2.33029,Park,1,1,2
355,4.72936,4.37052,Park,2,0,2
356,4.72946,4.72946,Park,10,2,11
357,4.72956,4.72956,Park,0,1,1
358,4.72966,4.72966,Park,1,1,1
359,4.72977,1.08371,Park,0,0,0
360,4.72988,0,Outside,0,0,0
361,4.72998,0.20921,Outside,0,0,0
362,4.73009,0.0011,Outside,4,1,4
363,4.73021,0,Outside,0,0,0
364,4.73032,0,Outside,0,0,0
365,4.71041,0,Outside,0,0,0
366,3.54904,0,Outside,0,0,0
367,3.74959,0,Outside,0,0,0
368,1.63719,0,Outside,0,0,0
369,2.12531,0,Outside,0,0,0
370,3.43269,0,Outside,0,0,0
371,4.73022,0,Outside,0,0,0
372,4.73031,0,Outside,2,0,2
373,4.7304,0,Outside,1,2,2
374,4.7305,0,Outside,0,0,0
375,4.7306,0,Outside,0,0,0
376,4.73069,0,Outside,0,3,1
377,4.73079,0.7275,Park,0,2,2
378,4.7309,3.96591,Park,0,0,0
379,4.731,4.7307,Park,0,0,0
380,4.73111,4.02815,Park,0,2,1
381,4.73121,0.07973,Outside,0,0,0
382,4.73132,0,Outside,0,0,0
383,4.73143,0,Outside,1,0,1
384,4.73154,0,Outside,2,0,2
385,4.73165,0,Outside,0,3,1
386,4.73176,0,Outside,0,1,0
387,4.73188,0,Outside,0,1,0
388,4.73199,0,Outside,2,1,2
